theta,edges,density,avg_degree,avg_strength,assortativity,transitivity,mean_cosine,powerlaw_alpha,powerlaw_r,sector_assortativity
0.05,94868,0.9822737626837854,431.2181818181818,90.8712663929801,-0.021918160599235112,0.9852050554209228,0.9370040709792032,-1.0409354367224781,0.6926005018004747,-0.0013007061847166107
0.07,92988,0.9628080347898116,422.6727272727273,90.35005667777969,-0.03206180544063879,0.971577270497745,0.9282573432882258,-0.8934132407535839,0.7020583135089129,-0.0005282146140207908
0.09000000000000001,89501,0.9267032511907227,406.82272727272726,89.06887796095236,-0.04446987713829396,0.9492183813213232,0.9086422730339403,-0.70524280599501,0.6434429361975709,0.0011389443958627155
0.11000000000000001,84623,0.8761958997722096,384.65,86.84029210458698,-0.05949010252587787,0.9214966022399221,0.8775449770137242,-0.5223137896441001,0.5838099346653816,0.0033183304229094037
0.13,77997,0.8075895630565334,354.5318181818182,83.21383432466114,-0.07539224454629678,0.8880006741613048,0.830981658099643,-0.4345979492474659,0.587187433781878,0.006367876467579581
0.15000000000000002,70062,0.7254296955891489,318.46363636363634,78.15408146627001,-0.09633486687476932,0.8528399753492194,0.7718444404176363,-0.31353099300353904,0.4873426213725982,0.010107168298201739
0.17000000000000004,61076,0.6323876579001864,277.6181818181818,71.61543893801849,-0.1163896564877149,0.8174060383297983,0.699274639667862,-0.20416523838222353,0.3507890480410218,0.015125157155998934
0.19,51889,0.5372644439842618,235.8590909090909,64.10023487126001,-0.13140814976909876,0.7859143156368064,0.622064889178459,-0.10807616139503896,0.20198624980258412,0.020739835911347735
0.21000000000000002,43025,0.44548560778629115,195.5681818181818,56.04588266057166,-0.14576460222459123,0.7537563045933495,0.5442027277163731,0.002712426651560556,-0.005359834747404839,0.025630395822084952
0.23000000000000004,34818,0.36050942224062954,158.26363636363635,47.847050839855946,-0.16458894036616212,0.7229998864109651,0.47811012104088574,0.1210024314253553,-0.22066339727478695,0.03130272402566892
0.25000000000000006,27525,0.2849968937668254,125.11363636363636,39.898505884839444,-0.1821799882759907,0.694164543257401,0.4177398142349318,0.23078100278944777,-0.4119243867156985,0.038650910079999955
0.27,21377,0.221339821909298,97.16818181818182,32.64442257892536,-0.20112945732503185,0.6651244894288895,0.3762720178926934,0.34011116570432837,-0.5762267455673243,0.047479796824906405
0.29000000000000004,16103,0.16673224270035203,73.19545454545455,25.944021434097667,-0.21530904850932325,0.6310045475420457,0.32809272269535583,0.43972313524630935,-0.6648327589785591,0.05772354500492788
0.31000000000000005,11974,0.12398012010768275,54.42727272727273,20.318831917625403,-0.21270992541602166,0.5987089141332769,0.2917724564054941,0.5241109531411399,-0.7279252696469799,0.06931210778001673
0.33,8739,0.09048457237523297,39.722727272727276,15.619713289274799,-0.20155323309319467,0.574662276693389,0.2702199686966195,0.6381112105295201,-0.7808565230075667,0.0889856733332529
0.35000000000000003,6334,0.06558293642576103,28.79090909090909,11.909539299253916,-0.19549108450325164,0.5500737864360332,0.26305441875906244,0.7230957055222199,-0.855041760820896,0.11083068113939513
0.37000000000000005,4575,0.047370055912197145,20.795454545454547,9.03511828444684,-0.17057973591242473,0.544337865299013,0.25170086609111914,0.814193484509098,-0.8704698271181527,0.13634198791128996
0.39000000000000007,3363,0.03482087388693311,15.286363636363637,6.944376829448067,-0.12534173560679504,0.5418143899895724,0.25973140804696193,0.8500934765127213,-0.8826538983829151,0.16520044468419467
0.4100000000000001,2469,0.025564299026713606,11.222727272727273,5.321193753040444,-0.06406871537371048,0.5366954279480314,0.29060089211686924,0.8867324384227081,-0.874538306334507,0.1958552154737553
0.43000000000000005,1829,0.018937668254296956,8.313636363636364,4.101357080049109,-0.0030773887487458547,0.5309196472585858,0.31552597798441423,0.9731044185594698,-0.8995805809689422,0.23247805580446093
0.45000000000000007,1332,0.013791675295092152,6.054545454545455,3.108887683682101,0.0798634547466654,0.5250123940602942,0.342568975519673,0.9854938926209841,-0.9061497256639094,0.27577567638264466
0.4700000000000001,948,0.009815696831642162,4.3090909090909095,2.307432074808147,0.11579002246905726,0.5019006534831076,0.3844191874840362,1.0348793440551702,-0.9030714581069682,0.31817023218869106
0.49000000000000005,677,0.007009732863946987,3.077272727272727,1.7166187622847386,0.1672450431238317,0.49620352250489236,0.43898967867996913,1.0796711734002498,-0.9161684029249151,0.3578713030390919
